"StateNum","Age","Respondents","HealthySleepers"
1,18,58,46
1,19,46,33
1,20,48,29
1,21,58,35
1,22,66,42
1,23,93,53
1,24,69,38
1,25,80,54
1,26,71,46
1,27,56,36
1,28,81,41
1,29,85,42
1,30,86,51
1,31,57,26
1,32,78,35
1,33,81,44
1,34,79,40
1,35,90,60
1,36,76,35
1,37,88,48
1,38,82,53
1,39,75,44
1,40,107,66
1,41,94,52
1,42,96,48
1,43,99,55
1,44,88,53
1,45,118,64
1,46,113,51
1,47,110,65
1,48,119,65
1,49,119,65
1,50,157,78
1,51,148,79
1,52,167,87
1,53,178,93
1,54,189,95
1,55,174,89
1,56,180,97
1,57,206,125
1,58,187,104
1,59,196,105
1,60,228,142
1,61,179,128
1,62,230,136
1,63,206,131
1,64,205,122
1,65,222,146
1,66,236,153
1,67,274,190
1,68,178,119
1,69,177,130
1,70,179,124
1,71,136,94
1,72,153,115
1,73,172,115
1,74,151,112
1,75,117,81
1,76,137,97
1,77,111,79
1,78,107,77
1,79,93,73
1,80,688,483
2,18,26,21
2,19,27,20
2,20,35,24
2,21,26,18
2,22,42,24
2,23,46,27
2,24,43,26
2,25,47,33
2,26,42,27
2,27,54,38
2,28,36,24
2,29,63,41
2,30,63,43
2,31,59,34
2,32,56,33
2,33,72,42
2,34,65,42
2,35,73,47
2,36,67,46
2,37,68,49
2,38,62,42
2,39,57,37
2,40,65,40
2,41,53,37
2,42,61,35
2,43,67,38
2,44,70,53
2,45,58,38
2,46,92,69
2,47,57,39
2,48,83,54
2,49,73,52
2,50,96,67
2,51,82,59
2,52,126,81
2,53,110,73
2,54,109,71
2,55,136,90
2,56,123,83
2,57,102,65
2,58,99,74
2,59,105,67
2,60,96,66
2,61,91,61
2,62,111,81
2,63,101,78
2,64,105,78
2,65,77,53
2,66,94,71
2,67,75,54
2,68,86,64
2,69,55,35
2,70,66,48
2,71,61,48
2,72,60,43
2,73,45,31
2,74,48,38
2,75,22,19
2,76,34,25
2,77,42,32
2,78,31,27
2,79,25,20
2,80,167,124
4,18,79,64
4,19,65,50
4,20,63,45
4,21,58,45
4,22,75,55
4,23,66,39
4,24,77,47
4,25,66,41
4,26,72,44
4,27,74,54
4,28,81,51
4,29,70,46
4,30,116,64
4,31,102,65
4,32,118,71
4,33,117,76
4,34,123,80
4,35,125,73
4,36,130,81
4,37,130,81
4,38,129,84
4,39,144,101
4,40,170,114
4,41,117,80
4,42,171,110
4,43,180,114
4,44,168,100
4,45,165,94
4,46,177,102
4,47,201,129
4,48,187,125
4,49,209,140
4,50,227,137
4,51,220,130
4,52,245,167
4,53,268,159
4,54,261,169
4,55,298,202
4,56,242,166
4,57,306,189
4,58,240,157
4,59,302,195
4,60,383,267
4,61,264,179
4,62,334,221
4,63,403,289
4,64,466,312
4,65,424,304
4,66,432,303
4,67,431,303
4,68,354,273
4,69,292,209
4,70,390,288
4,71,365,271
4,72,353,270
4,73,329,237
4,74,295,228
4,75,299,216
4,76,283,224
4,77,257,211
4,78,241,188
4,79,200,151
4,80,1636,1231
5,18,29,21
5,19,14,7
5,20,19,13
5,21,30,22
5,22,25,20
5,23,24,16
5,24,28,19
5,25,37,17
5,26,22,15
5,27,35,23
5,28,30,11
5,29,30,17
5,30,44,25
5,31,25,14
5,32,38,20
5,33,54,31
5,34,46,26
5,35,38,23
5,36,38,25
5,37,40,24
5,38,40,20
5,39,30,24
5,40,51,29
5,41,49,27
5,42,47,23
5,43,47,29
